id,full_name,age,gender,device_type,ad_position,browsing_history,time_of_day,click,data_quality_score
670,User670,22.0,Male,Desktop,Top,Shopping,Afternoon,1,5
3044,User3044,,Male,Desktop,Top,,,1,3
5912,User5912,41.0,Non-Binary,Desktop,Side,Education,Night,1,5
5418,User5418,34.0,Male,Desktop,Bottom,Entertainment,Evening,1,4
9452,User9452,39.0,Non-Binary,Desktop,Top,Social Media,Morning,0,4
5942,User5942,,Non-Binary,Desktop,Bottom,Social Media,Evening,1,4
7808,User7808,26.0,Female,Desktop,Top,,,1,4
5065,User5065,40.0,Male,Mobile,Side,,Evening,0,5
7993,User7993,,Non-Binary,Mobile,Bottom,Social Media,,1,4
4509,User4509,,Male,Desktop,Bottom,Education,Afternoon,1,3
2595,User2595,,Male,Desktop,Bottom,,Morning,1,2
7466,User7466,47.0,Male,Mobile,Bottom,,Afternoon,1,4
8171,User8171,,Non-Binary,Mobile,Side,Education,Afternoon,0,5
2023,User2023,19.0,Male,Desktop,,,,1,2
973,User973,,Male,Mobile,Bottom,,Morning,1,2
7529,User7529,,Male,Desktop,Top,Entertainment,Afternoon,0,3
8127,User8127,,Male,Tablet,Bottom,,,1,3
188,User188,56.0,Female,Tablet,Bottom,News,Morning,1,6
2124,User2124,,Male,Desktop,Top,,Evening,1,4
7335,User7335,24.0,Male,Tablet,Side,Entertainment,Night,0,5
5569,User5569,,Male,Mobile,Bottom,,Afternoon,1,3
2272,User2272,52.0,Male,Tablet,Bottom,News,Morning,1,5
2722,User2722,39.0,Male,Desktop,Top,,,1,3
316,User316,42.0,Male,Desktop,Top,,Night,1,4
9789,User9789,36.0,Male,Tablet,,,,1,2
4890,User4890,43.0,Male,Tablet,Bottom,Education,Afternoon,1,6
4994,User4994,62.0,Male,Mobile,Side,,Night,0,3
5055,User5055,45.0,Male,Desktop,Top,Education,Morning,1,4
6724,User6724,37.0,Female,Desktop,Top,Entertainment,Evening,1,5
8253,User8253,,Non-Binary,Desktop,Bottom,Entertainment,,1,4
4945,User4945,31.0,Male,Tablet,Top,,Morning,1,4
1729,User1729,26.0,Female,Mobile,Top,,Afternoon,1,5
6862,User6862,,Male,Tablet,Side,,,1,3
4985,User4985,37.0,Male,Mobile,Top,News,Evening,0,6
7361,User7361,,Male,Mobile,Top,Entertainment,Afternoon,0,4
1524,User1524,24.0,Male,Mobile,Bottom,,Night,1,4
2542,User2542,58.0,Non-Binary,Mobile,Side,,Evening,1,5
119,User119,59.0,Male,Tablet,Top,,,1,3
5881,User5881,26.0,Non-Binary,Tablet,Top,,Morning,1,5
9642,User9642,,Non-Binary,Desktop,Bottom,,Evening,1,3
1171,User1171,,Male,Mobile,Top,,Night,1,2
1612,User1612,40.0,Male,Mobile,,News,,1,3
9586,User9586,,Male,Desktop,Bottom,Shopping,Afternoon,0,3
7661,User7661,48.0,Male,Mobile,Side,News,Night,1,5
4228,User4228,,Male,Desktop,Side,,Morning,1,3
5574,User5574,52.0,Female,Desktop,Bottom,,Afternoon,1,5
120,User120,,Male,Desktop,Side,,Night,0,3
6143,User6143,,Male,Desktop,Bottom,,Afternoon,1,2
301,User301,,Male,Tablet,Side,Social Media,,1,4
5301,User5301,,Male,Desktop,Side,Social Media,,1,3
5439,User5439,38.0,Male,Desktop,Bottom,Social Media,Afternoon,1,3
9806,User9806,58.0,Male,Tablet,Bottom,,,1,4
9888,User9888,49.0,Male,Mobile,Top,News,Morning,1,6
4525,User4525,,Male,Mobile,Top,Entertainment,,0,3
6153,User6153,30.0,Male,Desktop,Side,Entertainment,Night,1,4
7498,User7498,,Male,Desktop,Side,Shopping,Afternoon,1,4
9736,User9736,46.0,Male,Desktop,Side,Education,Evening,1,4
2244,User2244,42.0,Male,Mobile,Top,,Evening,0,4
4952,User4952,41.0,Female,Desktop,Side,,Night,0,3
4855,User4855,,Non-Binary,Desktop,Top,,,0,3
9590,User9590,,Non-Binary,Tablet,Bottom,,Morning,0,3
813,User813,,Male,Tablet,Top,Education,Morning,1,4
4957,User4957,58.0,Male,Desktop,Bottom,Social Media,Evening,1,5
9431,User9431,,Male,Mobile,Top,Entertainment,Afternoon,1,4
6935,User6935,,Male,Mobile,Side,,Morning,0,3
2431,User2431,54.0,Male,Desktop,Top,,Night,1,5
3164,User3164,,Female,Desktop,Side,,Evening,1,3
4756,User4756,,Non-Binary,Mobile,Bottom,Education,Evening,1,5
7674,User7674,,Male,Desktop,Bottom,News,Afternoon,1,3
6251,User6251,44.0,Non-Binary,Desktop,Side,Shopping,Morning,1,5
6751,User6751,,Female,Tablet,Top,,Evening,0,3
9996,User9996,48.0,Male,Desktop,Top,Shopping,Evening,0,5
2973,User2973,27.0,Non-Binary,Desktop,Bottom,,Night,1,4
6315,User6315,,Male,Desktop,Top,,Afternoon,1,3
7065,User7065,57.0,Male,Desktop,Bottom,,Morning,1,3
9412,User9412,,Male,Desktop,Bottom,Social Media,Morning,1,3
3458,User3458,,Male,Tablet,,,,0,1
6121,User6121,,Male,Desktop,Top,,Afternoon,0,3
487,User487,28.0,Male,Mobile,Side,,Afternoon,1,4
3266,User3266,,Male,Tablet,Top,News,Afternoon,1,5
5574,User5574,52.0,Female,Desktop,Bottom,Shopping,Afternoon,1,5
6553,User6553,,Male,Desktop,Bottom,Education,Morning,1,4
8996,User8996,22.0,Female,Desktop,Top,Entertainment,Evening,0,5
503,User503,43.0,Male,Desktop,Bottom,Social Media,Morning,1,4
4581,User4581,51.0,Male,Desktop,Top,,,0,2
8956,User8956,,Male,Tablet,Top,News,Morning,1,4
9990,User9990,,Male,Desktop,Side,,Night,1,4
7426,User7426,,Male,Mobile,Side,,Night,0,3
6100,User6100,,Male,Desktop,,Education,,1,2
3543,User3543,,Male,Desktop,Top,,Night,1,2
7866,User7866,,Male,Mobile,Top,Social Media,Morning,1,4
