id,full_name,age,gender,device_type,ad_position,browsing_history,time_of_day,click
670,User670,22.0,,Desktop,Top,Shopping,Afternoon,1
5418,User5418,34.0,Male,,,Entertainment,Evening,1
7993,User7993,,Non-Binary,Mobile,Bottom,Social Media,,1
2595,User2595,,,,Bottom,,Morning,1
8171,User8171,,Non-Binary,Mobile,Side,Education,Afternoon,0
973,User973,,,Mobile,,,Morning,1
7529,User7529,,,,Top,Entertainment,Afternoon,0
188,User188,56.0,Female,Tablet,Bottom,News,Morning,1
7335,User7335,24.0,,Tablet,Side,Entertainment,Night,0
5569,User5569,,,Mobile,Bottom,,Afternoon,1
316,User316,42.0,,Desktop,Top,,Night,1
4994,User4994,62.0,,Mobile,,,Night,0
5055,User5055,45.0,Male,,,Education,Morning,1
6724,User6724,37.0,Female,,Top,Entertainment,Evening,1
8253,User8253,,Non-Binary,Desktop,Bottom,Entertainment,,1
4945,User4945,31.0,,Tablet,Top,,Morning,1
1729,User1729,26.0,Female,Mobile,Top,,Afternoon,1
4985,User4985,37.0,Male,Mobile,Top,News,Evening,0
7361,User7361,,,Mobile,Top,Entertainment,Afternoon,0
1524,User1524,24.0,,Mobile,Bottom,,Night,1
2542,User2542,58.0,Non-Binary,Mobile,Side,,Evening,1
119,User119,59.0,,Tablet,Top,,,1
9642,User9642,,Non-Binary,,Bottom,,Evening,1
1612,User1612,40.0,,Mobile,,News,,1
4228,User4228,,,Desktop,Side,,Morning,1
5574,User5574,52.0,Female,Desktop,Bottom,,Afternoon,1
120,User120,,,Desktop,Side,,Night,0
6143,User6143,,,,Bottom,,Afternoon,1
301,User301,,Male,Tablet,Side,Social Media,,1
5439,User5439,38.0,,,,Social Media,Afternoon,1
9806,User9806,58.0,Male,Tablet,Bottom,,,1
9736,User9736,46.0,,Desktop,,Education,Evening,1
2244,User2244,42.0,,Mobile,Top,,Evening,0
4952,User4952,41.0,Female,,,,Night,0
4855,User4855,,Non-Binary,Desktop,Top,,,0
813,User813,,,Tablet,Top,Education,Morning,1
9431,User9431,,,Mobile,Top,Entertainment,Afternoon,1
2431,User2431,54.0,Male,Desktop,Top,,Night,1
3164,User3164,,Female,Desktop,,,Evening,1
1524,User1524,24.0,,Mobile,Bottom,,Night,1
7674,User7674,,,,Bottom,News,Afternoon,1
6251,User6251,44.0,Non-Binary,,Side,Shopping,Morning,1
2973,User2973,27.0,Non-Binary,,Bottom,,Night,1
7065,User7065,57.0,,Desktop,,,Morning,1
9412,User9412,,,,Bottom,Social Media,Morning,1
487,User487,28.0,,Mobile,Side,,Afternoon,1
3266,User3266,,Male,Tablet,Top,News,Afternoon,1
5574,User5574,52.0,Female,,Bottom,Shopping,Afternoon,1
503,User503,43.0,,Desktop,,Social Media,Morning,1
8956,User8956,,Male,Tablet,,News,Morning,1
9990,User9990,,Male,Desktop,Side,,Night,1
6100,User6100,,,Desktop,,Education,,1
3543,User3543,,,,Top,,Night,1
7866,User7866,,,Mobile,Top,Social Media,Morning,1
7917,User7917,,Non-Binary,Tablet,Side,,Afternoon,0
5340,User5340,19.0,,Mobile,Side,,Night,0
2907,User2907,,,Mobile,Side,News,,0
6906,User6906,,,Mobile,Top,,Morning,1
1665,User1665,19.0,,Mobile,Bottom,,Afternoon,0
1762,User1762,41.0,Male,Desktop,,Entertainment,Afternoon,1
8201,User8201,59.0,Female,Desktop,Bottom,Social Media,Morning,0
4086,User4086,,Female,Desktop,Top,Entertainment,Morning,1
9896,User9896,45.0,Female,Desktop,Side,,Afternoon,0
571,User571,,Male,Tablet,Bottom,Social Media,Afternoon,0
7591,User7591,,Male,Desktop,Top,,Night,0
5531,User5531,34.0,Male,Desktop,Top,News,,1
9921,User9921,,Female,Desktop,Side,,Night,0
5338,User5338,51.0,Male,Mobile,,Social Media,Morning,1
6683,User6683,,,Tablet,,,Night,1
6880,User6880,,Female,Mobile,Side,News,Night,1
5986,User5986,32.0,,Desktop,Side,,,0
5484,User5484,64.0,Female,Mobile,Side,Education,Morning,0
3109,User3109,,,,Side,Entertainment,,1
1190,User1190,,Non-Binary,Tablet,Bottom,Education,,1
1077,User1077,,Non-Binary,Desktop,Top,,Afternoon,1
6060,User6060,,,Desktop,Top,News,Morning,0
4697,User4697,,,Mobile,Side,Entertainment,Afternoon,1
5703,User5703,55.0,Female,Tablet,Side,Shopping,Night,0
8010,User8010,24.0,,Desktop,Top,,,0
2364,User2364,54.0,Female,,Side,,Afternoon,0
4507,User4507,42.0,,,Bottom,,,0
8253,User8253,57.0,Non-Binary,Desktop,Bottom,Entertainment,,1
255,User255,31.0,,,,Entertainment,Night,1
3314,User3314,35.0,,Tablet,Top,News,Evening,0
5995,User5995,,Male,,Top,,Morning,0
2565,User2565,,Non-Binary,Desktop,Bottom,Shopping,Night,0
6258,User6258,,,Tablet,Top,,Night,1
3375,User3375,52.0,,Mobile,Bottom,Education,Morning,1
7805,User7805,36.0,Male,Mobile,,,Afternoon,0
3062,User3062,34.0,Male,Desktop,Bottom,Entertainment,Evening,1
6449,User6449,42.0,,Desktop,Top,Shopping,Night,1
9647,User9647,34.0,Non-Binary,Desktop,Side,,Evening,0
9732,User9732,27.0,Male,Desktop,,Education,Evening,0
5642,User5642,57.0,,Tablet,Bottom,News,Morning,0
9689,User9689,,Male,Desktop,Bottom,,,1
7655,User7655,39.0,,,Bottom,,,0
5780,User5780,,,Mobile,Bottom,Entertainment,,1
2976,User2976,,,,,Shopping,Afternoon,0
3663,User3663,,,Mobile,,Social Media,,0
8103,User8103,,Non-Binary,,Top,,Night,0
2757,User2757,35.0,Female,Mobile,Bottom,Social Media,Night,0
1486,User1486,,,Desktop,Side,,Morning,0
1635,User1635,54.0,Female,,Top,,,1
5412,User5412,35.0,,Mobile,Top,,Evening,1
6989,User6989,28.0,Male,Mobile,,Shopping,Afternoon,1
3149,User3149,,Male,Desktop,Top,,Night,0
5629,User5629,,,Tablet,,,Night,1
9748,User9748,47.0,Non-Binary,Tablet,Bottom,Entertainment,Afternoon,0
4086,User4086,,Female,Desktop,Top,Entertainment,Morning,1
9400,User9400,,Non-Binary,Mobile,Side,Education,Night,1
9699,User9699,,Female,,,Shopping,Morning,0
4089,User4089,,Non-Binary,Tablet,,,Afternoon,0
2885,User2885,,Non-Binary,Desktop,Bottom,Education,Afternoon,0
1190,User1190,,Non-Binary,Tablet,Bottom,Education,Morning,1
5082,User5082,44.0,Female,Mobile,Top,,Afternoon,1
1345,User1345,34.0,,Desktop,Top,Entertainment,,0
4938,User4938,,Male,Desktop,Side,Social Media,Evening,1
5623,User5623,53.0,,Desktop,Side,,Morning,1
7993,User7993,,Non-Binary,Mobile,Bottom,Social Media,Morning,1
5955,User5955,,,Tablet,,,Evening,1
5100,User5100,42.0,,Mobile,Side,Shopping,Morning,1
6129,User6129,36.0,,Tablet,Bottom,,Evening,1
4625,User4625,33.0,Non-Binary,Mobile,Top,News,Morning,0
3215,User3215,33.0,Male,Mobile,Side,,Afternoon,0
9137,User9137,35.0,Female,Desktop,Side,Social Media,,0
8085,User8085,35.0,Non-Binary,Mobile,,,Evening,0
4779,User4779,,,Tablet,Top,,Afternoon,0
3818,User3818,27.0,,Desktop,Top,Shopping,Night,0
7779,User7779,36.0,,Desktop,,,Morning,0
1612,User1612,40.0,,Mobile,Side,News,Evening,1
550,User550,,,Desktop,Top,,Morning,0
1612,User1612,40.0,,Mobile,Side,News,Evening,1
7422,User7422,,Female,Desktop,Top,,Evening,1
4450,User4450,45.0,Female,Mobile,Top,,Evening,0
8174,User8174,20.0,Female,Mobile,Bottom,,,1
453,User453,,Female,Tablet,Top,Entertainment,Afternoon,1
6268,User6268,,,Desktop,,,Night,1
9266,User9266,38.0,,Mobile,,Education,Afternoon,1
6917,User6917,,Non-Binary,Mobile,Bottom,,Afternoon,0
234,User234,19.0,,Tablet,Bottom,Social Media,Morning,1
255,User255,,,Desktop,Bottom,Entertainment,Night,1
2129,User2129,47.0,,Tablet,Bottom,Social Media,Evening,1
9611,User9611,,Male,Desktop,Side,Entertainment,Afternoon,1
8115,User8115,20.0,Female,Mobile,Top,Social Media,Afternoon,1
234,User234,,Female,,,Social Media,Morning,1
6864,User6864,,,Desktop,Side,Social Media,Evening,0
6462,User6462,36.0,,Tablet,Side,Education,Evening,1
3543,User3543,55.0,,,Top,,Night,1
7214,User7214,62.0,Non-Binary,Mobile,,Education,,0
3236,User3236,56.0,Female,Mobile,Bottom,Education,Morning,1
8957,User8957,,,,Top,,Morning,1
6576,User6576,62.0,Female,Desktop,Bottom,Entertainment,Morning,1
6602,User6602,,Female,Desktop,,,,1
9400,User9400,,,Mobile,Side,Education,,1
1020,User1020,,,,Side,,Morning,1
7659,User7659,19.0,,Mobile,Top,News,Night,0
2003,User2003,,,Desktop,Bottom,News,Afternoon,0
998,User998,,,Tablet,Top,,Evening,1
9220,User9220,21.0,Female,Mobile,Side,,Night,1
1420,User1420,62.0,Non-Binary,Desktop,,,Morning,1
2485,User2485,,Non-Binary,Mobile,Bottom,News,,1
8316,User8316,,Male,Desktop,Bottom,,,0
3601,User3601,,Non-Binary,Mobile,Bottom,Entertainment,,1
9290,User9290,61.0,,Desktop,Bottom,,,1
9431,User9431,,Male,Mobile,Top,,Afternoon,1
885,User885,49.0,,Tablet,Side,,Afternoon,0
7866,User7866,,,Mobile,,Social Media,Morning,1
1110,User1110,43.0,,Mobile,Side,Entertainment,,0
1539,User1539,43.0,,Mobile,Bottom,Education,Evening,1
2722,User2722,39.0,,Desktop,Top,,Evening,1
5890,User5890,56.0,Female,Mobile,Bottom,News,Night,1
5062,User5062,,Male,Tablet,Bottom,,Night,0
6125,User6125,18.0,,,,,Afternoon,0
2964,User2964,40.0,Non-Binary,Mobile,Side,,,1
6573,User6573,55.0,Non-Binary,Desktop,Side,,Evening,1
3014,User3014,,,Mobile,Top,,,1
579,User579,,,Tablet,Side,Entertainment,Evening,0
3938,User3938,,Male,Mobile,,,,1
949,User949,,,Desktop,Top,Social Media,Morning,0
6145,User6145,,Female,,Side,Education,Evening,0
9075,User9075,36.0,Female,Mobile,,,,1
